, 0, 0
3145, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3147, 5000, 0, 0
3147, 5000, 0, 0
3148, 5000, 0, 0
3148, 5000, 0, 0
3149, 5000, 0, 0
3149, 5000, 0, 0
3149, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3150, 5000, 0, 0
3149, 5000, 0, 0
3149, 5000, 0, 0
3148, 5000, 0, 0
3147, 5000, 0, 0
3147, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3146, 5000, 0, 0
3145, 5000, 0, 0
3145, 5000, 0, 0
